OPM Code,NICE Specialty Area,NICE Specialty Area Description,Work Role,Work Role Description,Work Role ID,KSAT ID,KSAT Description
541,Vulnerability Assessment and Management (VAM),"Conducts assessments of threats and vulnerabilities; determines deviations from acceptable configurations, enterprise or local policy; assesses the level of risk; and develops and/or recommends appropriate mitigation countermeasures in operational and nonoperational situations.",Vulnerability Assessment Analyst,"Performs assessments of systems and networks within the network environment or enclave and identifies where those systems/networks deviate from acceptable configurations, enclave policy, or local policy. Measures effectiveness of defense-in-depth architecture against known vulnerabilities.",PR-VAM-001,A0001,Ability to identify systemic security issues based on the analysis of vulnerability and configuration data.
511,Cybersecurity Defense Analysis (CDA),"Uses defensive measures and information collected from a variety of sources to identify, analyze, and report events that occur or might occur within the network to protect information, information systems, and networks from threats.",Cyber Defense Analyst,"Uses data collected from a variety of cyber defense tools (e.g., IDS alerts, firewalls, network traffic logs) to analyze events that occur within their environments for the purposes of mitigating threats.", PR-CDA-001,A0010,Ability to analyze malware.
511,Cybersecurity Defense Analysis (CDA),"Uses defensive measures and information collected from a variety of sources to identify, analyze, and report events that occur or might occur within the network to protect information, information systems, and networks from threats.",Cyber Defense Analyst,"Uses data collected from a variety of cyber defense tools (e.g., IDS alerts, firewalls, network traffic logs) to analyze events that occur within their environments for the purposes of mitigating threats.", PR-CDA-001,A0015,Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.
541,Vulnerability Assessment and Management (VAM),"Conducts assessments of threats and vulnerabilities; determines deviations from acceptable configurations, enterprise or local policy; assesses the level of risk; and develops and/or recommends appropriate mitigation countermeasures in operational and nonoperational situations.",Vulnerability Assessment Analyst,"Performs assessments of systems and networks within the network environment or enclave and identifies where those systems/networks deviate from acceptable configurations, enclave policy, or local policy. Measures effectiveness of defense-in-depth architecture against known vulnerabilities.",PR-VAM-001,A0044,"Ability to apply programming language structures (e.g., source code review) and logic."
511,Cybersecurity Defense Analysis (CDA),"Uses defensive measures and information collected from a variety of sources to identify, analyze, and report events that occur or might occur within the network to protect information, information systems, and networks from threats.",Cyber Defense Analyst,"Uses data collected from a variety of cyber defense tools (e.g., IDS alerts, firewalls, network traffic logs) to analyze events that occur within their environments for the purposes of mitigating threats.", PR-CDA-001,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
541,Vulnerability Assessment and Management (VAM),"Conducts assessments of threats and vulnerabilities; determines deviations from acceptable configurations, enterprise or local policy; assesses the level of risk; and develops and/or recommends appropriate mitigation countermeasures in operational and nonoperational situations.",Vulnerability Assessment Analyst,"Performs assessments of systems and networks within the network environment or enclave and identifies where those systems/networks deviate from acceptable configurations, enclave policy, or local policy. Measures effectiveness of defense-in-depth architecture against known vulnerabilities.",PR-VAM-001,A0120,Ability to share meaningful insights about the context of an organization’s threat environment that improve its risk management posture.
531,Incident Response (CIR),"Responds to crises or urgent situations within the pertinent domain to mitigate immediate and potential threats. Uses mitigation, preparedness, and response and recovery approaches, as needed, to maximize survival of life, preservation of property, and information security. Investigates and analyzes all relevant response activities.",Cyber Defense Incident Responder ,"Investigates, analyzes, and responds to cyber incidents within the network environment or enclave.",PR-CIR-001,A0121,Ability to design incident response for cloud service models.
511,Cybersecurity Defense Analysis (CDA),"Uses defensive measures and information collected from a variety of sources to identify, analyze, and report events that occur or might occur within the network to protect information, information systems, and networks from threats.",Cyber Defense Analyst,"Uses data collected from a variety of cyber defense tools (e.g., IDS alerts, firewalls, network traffic logs) to analyze events that occur within their environments for the purposes of mitigating threats.", PR-CDA-001,A0123,"Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation)."
541,Vulnerability Assessment and Management (VAM),"Conducts assessments of threats and vulnerabilities; determines deviations from acceptable configurations, enterprise or local policy; assesses the level of risk; and develops and/or recommends appropriate mitigation countermeasures in operational and nonoperational situations.",Vulnerability Assessment Analyst,"Performs assessments of systems and networks within the network environment or enclave and identifies where those systems/networks deviate from acceptable configurations, enclave policy, or local policy. Measures effectiveness of defense-in-depth architecture against known vulnerabilities.",PR-VAM-001,A0123,"Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation)."
511,Cybersecurity Defense Analysis (CDA),"Uses defensive measures and information collected from a variety of sources to identify, analyze, and report events that occur or might occur within the network to protect information, information systems, and networks from threats.",Cyber Defense Analyst,"Uses data collected from a variety of cyber defense tools (e.g., IDS alerts, firewalls, network traffic logs) to analyze events that occur within their environments for the purposes of mitigating threats.", PR-CDA-001,A0128,Ability to apply techniques for detecting host and network-based intrusions using intrusion detection technologies.
